station,lon,lat
ACEBBNUT,-80.3241,32.4941
ACEBBWQ,-80.3241,32.4941
ACEBPMET,-80.454558,32.559344
ACEEINUT,-80.3247,32.504
ACEEIWQ,-80.3247,32.504
ACEFCNUT,-80.36556,32.63593
ACEFCWQ,-80.36556,32.63593
ACEFJWQ,-79.898991,32.753327
ACEGPWQ,-80.413,32.6637
ACEJIWQ,-80.3965,32.6209
ACEMCNUT,-80.438,32.5558
ACEMCWQ,-80.438,32.5558
ACERCWQ,-80.5036,32.5485
ACESPNUT,-80.36144,32.528
ACESPWQ,-80.36144,32.528
APABPWQ,-84.967136,29.8032861
APACPNUT,-84.8802,29.7021
APACPWQ,-84.8802,29.7021
APADBNUT,-85.0583,29.6747
APADBWQ,-85.0583,29.6747
APAEBMET,-84.8814861,29.7693833
APAEBNUT,-84.8752,29.7858
APAEBWQ,-84.8752,29.7858
APAEGNUT,-84.9452,29.7308
APAESNUT,-84.8752,29.7858
APAESWQ,-84.8752,29.7858
APALMWQ,-85.003525,29.755689
APAMBNUT,-84.994,29.6677
APANHNUT,-84.9289,29.6504
APAPCNUT,-85.0196,29.6079
APAPCWQ,-85.0277,29.601
APARVNUT,-85.0434,29.7791
APASCNUT,-84.9467,29.6067
APAWPNUT,-85.089,29.6379
CBMIPNUT,-76.7208,38.796
CBMIPWQ,-76.7208,38.796
CBMJBMET,-76.7082,38.7807667
CBMJBWQ,-76.7077,38.7792
CBMMBNUT,-75.804583,38.20855
CBMMBWQ,-75.804583,38.20855
CBMMCNUT,-76.7074,38.7433
CBMMCWQ,-76.7074,38.7433
CBMOCNUT,-76.2746,39.4507
CBMOCWQ,-76.2746,39.4507
CBMPRWQ,-76.7091,38.7732
CBMRRNUT,-76.7137,38.7813
CBMRRWQ,-76.7137,38.7813
CBVCBNUT,-76.611263,37.346665
CBVCBWQ,-76.611263,37.346665
CBVCINUT,-76.55,37.3
CBVGINUT,-76.392675,37.215796
CBVGIWQ,-76.392675,37.215796
CBVSHNUT,-76.88424,37.57138
CBVSHWQ,-76.88424,37.57138
CBVSPNUT,-76.88399,37.571398
CBVSPWQ,-76.88399,37.571398
CBVTCMET,-76.71237,37.4141
CBVTCNUT,-76.71442,37.414986
CBVTCWQ,-76.71442,37.414986
CBVYBNUT,-76.5052,37.2449
DELBBNUT,-75.628,39.4024
DELBLNUT,-75.636,39.38876
DELBLWQ,-75.636,39.38876
DELDSNUT,-75.5191,39.1637
DELDSWQ,-75.5191,39.1637
DELLLNUT,-75.4992,39.1144
DELLLWQ,-75.4992,39.1144
DELPBWQ,-75.6504,39.1647
DELSJMET,-75.4368833,39.0889028
DELSLNUT,-75.46058,39.08498
DELSLWQ,-75.46058,39.08498
DELTBNUT,-75.5996,39.4049
ELKAPNUT,-121.7538,36.8457
ELKAPWQ,-121.7538,36.8457
ELKCWMET,-121.7381444,36.8154361
ELKNMNUT,-121.7384,36.8346
ELKNMWQ,-121.7384,36.8346
ELKSMNUT,-121.7394,36.8179
ELKSMWQ,-121.7394,36.8179
ELKVMNUT,-121.7792,36.8111
ELKVMWQ,-121.7792,36.8111
GNDBCNUT,-88.4364,30.3836
GNDBCWQ,-88.4364,30.3836
GNDBHNUT,-88.4054,30.4178
GNDBHWQ,-88.4054,30.4178
GNDBLNUT,-88.4629,30.3571
GNDBLWQ,-88.4629,30.3571
GNDBNNUT,-88.4711,30.3669
GNDCRMET,-88.42,30.3592
GNDCRNUT,-88.42,30.3591
GNDCRWQ,-88.419,30.3599
GNDHSNUT,-88.4054,30.4178
GNDPCNUT,-88.4185,30.3486
GNDPCWQ,-88.4185,30.3486
