,station,parameter,Slope,std.error,conf.low,conf.high,statistic,p.value,Intercept,R2_adj,Dev_expl,model_error,ar1_start,threshold,model_refit,ar1_end,ts_start,ts_end,ts_length,n_points,Winter_estimate,Spring_estimate,Summer_estimate,Fall_estimate,Winter_p.value,Spring_p.value,Summer_p.value,Fall_p.value,Winter_std.error,Spring_std.error,Summer_std.error,Fall_std.error,sig_trend,sig_autocorr
1,acefcnut,chla_n,-0.003361137,0.007778018,-0.018605773,0.011883498,-0.432132853,0.666081979,8.887580366,0.340038264,0.358085883,FALSE,0.3103,0.132140745,TRUE,0.3103,2002.2,2022.953425,20.75342466,220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
2,acemcnut,chla_n,-0.020081172,0.005551839,-0.030962575,-0.009199768,-3.617030956,0.000371563,42.41282613,0.235962904,0.258426349,FALSE,0.2619,0.13154417,TRUE,0.2619,2002.2,2022.953425,20.75342466,222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
3,acespnut,chla_n,0.003113027,0.004990326,-0.006667832,0.012893885,0.623812288,0.533398989,-4.8625294,0.223390446,0.2394439,FALSE,0.3251,0.130664266,TRUE,0.3251,2002.123288,2022.953425,20.83013699,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
4,apacpnut,chla_n,0.058671547,0.006399173,0.046129399,0.071213696,9.168614171,3.59E-17,-116.3242259,0.423873713,0.439231028,FALSE,0.3213,0.130374865,TRUE,0.3213,2002.284932,2022.953425,20.66849315,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
5,apadbnut,chla_n,0.055176903,0.00636476,0.042702202,0.067651603,8.669125148,1.11E-15,-109.1205421,0.333021899,0.345468633,FALSE,0.3143,0.132745511,TRUE,0.3143,2002.284932,2022.953425,20.66849315,218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
6,apaebnut,chla_n,0.016451721,0.010443165,-0.004016505,0.036919948,1.575357876,0.116597827,-30.81425471,0.006601655,0.011056439,FALSE,0.4114,0.130955602,TRUE,0.4114,2002.284932,2022.953425,20.66849315,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
7,apaesnut,chla_n,0.011573052,0.010148697,-0.008318029,0.031464133,1.140348527,0.255391134,-21.07413345,0.0065578,0.014585698,FALSE,0.3985,0.131841445,TRUE,0.3985,2002.284932,2022.953425,20.66849315,221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
8,cbmipnut,chla_n,-0.050877415,0.00828688,-0.067119402,-0.034635428,-6.139513736,4.20E-09,103.5905935,0.304405344,0.325277453,FALSE,0.0546,0.134294519,FALSE,0.0546,2003.284932,2022.953425,19.66849315,213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,no
9,cbmmcnut,chla_n,0.032246799,0.011966834,0.008792235,0.055701363,2.694680833,0.007693393,-62.97818116,0.213402614,0.232954273,FALSE,0.4719,0.141818017,TRUE,0.4719,2003.284932,2022.953425,19.66849315,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
10,cbmocnut,chla_n,-0.006612344,0.00902233,-0.024295785,0.011071097,-0.732886537,0.464568214,16.38426178,0.225695974,0.252559648,FALSE,0.3606,0.142190732,TRUE,0.3606,2003.284932,2022.953425,19.66849315,190,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
11,cbmrrnut,chla_n,-0.019803507,0.009538007,-0.038497658,-0.001109356,-2.076273021,0.039054127,41.96595503,0.491778285,0.50638168,FALSE,0.3539,0.131248896,TRUE,0.3539,2003.284932,2022.953425,19.66849315,223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
12,cbvcbnut,chla_n,0.032917626,0.006803608,0.019582799,0.046252453,4.838260014,2.34E-06,-64.11933974,0.200761193,0.220536702,FALSE,0.2844,0.124457837,TRUE,0.2844,2002.038356,2022.953425,20.91506849,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
13,cbvginut,chla_n,0.01139569,0.007427798,-0.003162526,0.025953906,1.534194932,0.126279655,-21.39457566,0.058848897,0.071967342,FALSE,0.507,0.124457837,TRUE,0.507,2002.038356,2022.953425,20.91506849,248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
14,cbvtcnut,chla_n,0.008181768,0.009575624,-0.010586111,0.026949647,0.854437023,0.393713392,-14.15890699,0.403563169,0.417034123,FALSE,0.2786,0.124709522,TRUE,0.2786,2002.038356,2022.953425,20.91506849,247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,yes
15,delblnut,chla_n,0.08395421,0.010511145,0.063352745,0.104555675,7.987161504,6.22E-14,-165.9842251,0.477389884,0.490058319,FALSE,0.5165,0.126252379,TRUE,0.5165,2002.038356,2022.953425,20.91506849,241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
16,deldsnut,chla_n,0.036261219,0.011038936,0.014625302,0.057897136,3.284847278,0.001174884,-69.95757512,0.217893786,0.234702311,FALSE,0.4985,0.125731748,TRUE,0.4985,2002.038356,2022.953425,20.91506849,243,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
17,delllnut,chla_n,0.033826121,0.010282426,0.013672937,0.053979305,3.289702495,0.001156936,-65.26720479,0.33212329,0.34891195,FALSE,0.339,0.125991257,TRUE,0.339,2002.038356,2022.953425,20.91506849,242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
18,delslnut,chla_n,0.041884163,0.00845393,0.025314766,0.058453561,4.954401731,1.38E-06,-81.95311722,0.284400278,0.304399889,FALSE,0.3879,0.125473837,TRUE,0.3879,2002.038356,2022.953425,20.91506849,244,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
19,elkapnut,chla_n,0.051510568,0.008918491,0.034030646,0.068990489,5.775704219,2.58E-08,-102.2541322,0.221984298,0.235730213,FALSE,0.299,0.130374865,TRUE,0.299,2002.619178,2022.953425,20.33424658,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
20,elknmnut,chla_n,0.037335143,0.010609786,0.016540344,0.058129942,3.51893446,0.00052626,-73.39519889,0.113138334,0.12772119,FALSE,0.2775,0.130664266,TRUE,0.2775,2002.619178,2022.953425,20.33424658,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
21,elksmnut,chla_n,0.032600355,0.008592344,0.015759671,0.049441039,3.794116781,0.000191419,-64.32638385,0.236126405,0.251415221,FALSE,0.3348,0.130374865,TRUE,0.3348,2002.619178,2022.953425,20.33424658,226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
22,elkvmnut,chla_n,0.040835423,0.009250205,0.022705356,0.058965491,4.414542725,1.61E-05,-81.2894614,0.111825097,0.127632458,FALSE,0.3877,0.133051025,TRUE,0.3877,2002.619178,2022.953425,20.33424658,217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
23,gndbcnut,chla_n,0.085486496,0.01196122,0.062042935,0.108930057,7.146971065,1.76E-11,-170.2856375,0.29813551,0.319443851,FALSE,0.3811,0.1382452,TRUE,0.3811,2005.2,2022.953425,17.75342466,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
24,gndbhnut,chla_n,0.075628538,0.015144757,0.04594536,0.105311717,4.993710896,1.35E-06,-150.7982604,0.184604802,0.200227609,FALSE,0.2089,0.141448217,TRUE,0.2089,2005.2,2022.953425,17.75342466,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
25,gndblnut,chla_n,0.109472823,0.009994415,0.08988413,0.129061517,10.95339998,4.30E-22,-218.7932024,0.53220887,0.545716032,FALSE,0.4341,0.137562504,TRUE,0.4341,2005.2,2022.953425,17.75342466,203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,yes
