Parameter,cluster,count,mean,sd,min,q25,median,q75,max
Chla,D,32,5.224544271762554,2.3636995179355695,1.0733333333922315,3.8925000020071603,4.909166668202744,7.156875002925991,9.487500002107314
Chla,C,29,2.341560344880453,2.5303024050224976,0.2000000001547424,1.0733333333922315,1.7841666656527084,2.517499998691929,14.02500000231872
Chla,B,31,6.756768819857774,7.3432323882098265,0.31999999976428456,2.868749998320655,5.400000002201202,6.709999998501917,30.481666699699176
Chla,A,37,8.970200450505825,7.970446323276656,1.7699999985254298,3.665000000192858,5.872499993919952,10.759999991814803,28.513333320128282
NH4,D,32,59.452604164356075,46.06186495490607,14.999999998076841,33.93750000824801,47.20000003443618,59.87708332631638,238.67499986978476
NH4,C,29,19.50247126601302,11.05662579237447,2.7999999977936305,13.95000001253954,17.44999998813888,25.249999973564773,59.00000004861561
NH4,B,31,21.873118281255962,16.739055121278756,2.0000000015474235,7.125000000844883,22.333333334301958,31.875000001812346,61.8750000083168
NH4,A,37,75.06914414769332,94.48578825026593,6.500000005345307,34.999999971771125,47.00000000695676,73.40000001418491,445.27499967420715
NO23,D,32,31.523567697386955,35.24729804511539,2.750000001074795,9.431250001375737,16.26249999433209,34.12499999521245,141.39999984994395
NO23,C,29,125.96063217468189,165.68220903814318,1.9499999983722784,4.99999999613144,105.55000008660042,133.27499993954473,810.4999996556148
NO23,B,31,15.68198924772825,27.843620687682932,1.2999999990815274,4.87500000011719,5.449999996528387,10.499999997996202,142.6666665702481
NO23,A,37,585.834234021806,701.3688428922849,23.249999987902523,135.13749988923857,319.99999976428455,679.5999996917146,3097.999996981233
PO4,D,32,53.41041668442689,53.193883301854505,12.424999988402524,24.787500012942434,36.64999998505888,55.368750005627334,230.55000023600678
PO4,C,29,23.62097700844988,17.31277808013132,0.8000000000148404,8.649999990742124,23.49999998529615,30.699999966267992,64.24999999950705
PO4,B,31,9.119354840114413,10.68756620351132,1,2.0000000015474235,4.99999999613144,12.849999989649529,41.25000001083325
PO4,A,37,28.073423422010375,37.86239727125612,1,9.250000005558325,17.50000001264084,30.45000000218094,216.12499985967423
Turb,D,32,12.046874999503016,7.2882576536881345,3.0000000019365034,7.750000000053855,10,16.0000000126762,38.99999999762036
Turb,C,29,2.6896551722143074,1.8536344258639443,1,1,2.000000001547424,3.9999999969793545,8.999999990895754
Turb,B,31,8.274193547402906,4.718472049706998,1,5.499999995415603,8.000000000148404,10.499999997996202,19.000000002063693
Turb,A,37,21.702702698182744,12.831958503246392,4.99999999613144,10.999999995992406,17.500000012640836,30.000000019365025,54.99999993740787
