Parameter,cluster,count,mean,sd,min,q25,median,q75,max
DO,D,32,6.178125,0.9352365148504828,4.15,5.699999999999999,6.175000000000001,6.7250000000000005,8
DO,C,29,8.856896551724137,0.906890698439595,7.1,8.5,8.7,9.2,10.8
DO,B,31,6.290322580645161,1.2340596524505822,2.4,5.800000000000001,6.7,7.05,7.8
DO,A,37,7.784459459459459,0.908817748341052,5.3,7.3,7.9,8.4,9.3
SpCond,D,32,44.268984375,8.175369056959443,26.04,39.2675,46.463750000000005,50.76,53.8
SpCond,C,29,38.24094827586207,15.897892554824022,0.2,39.24,45.395,47.115,49.935
SpCond,B,31,39.803467741935485,15.520669252073445,0.26,33.125,42.2375,51.197500000000005,69.9225
SpCond,A,37,7.9389864864864865,11.137510794037972,0.18,0.35,1.37,11.97,41.115
Temp,D,32,20.73125,2.8194528753162436,16.2,18,21.075000000000003,22.525,26.9
Temp,C,29,12.48103448275862,3.176571989725926,6.2,10.65,12.45,15.2,17.8
Temp,B,31,24.891935483870967,2.2561802814415324,20.6,23.725,24.3,26.375,29.3
Temp,A,37,16.945945945945947,2.67000776055828,11.05,15.7,16.6,17.35,24.9
pH,D,32,7.71875,0.2054695644991828,7.2,7.675000000000001,7.7,7.824999999999999,8.1
pH,C,29,7.855172413793103,0.29711254108328294,6.8,7.9,7.9,8,8.2
pH,B,31,7.874193548387097,0.33363427275534685,6.9,7.75,8,8.1,8.3
pH,A,37,7.345945945945946,0.3731209176918647,6.3,7.1,7.5,7.7,7.8
