Map.Code,code,cluster,Sal,Temp,DO,pH,Turb,Chla,NH4,NO23,PO4,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
ace,acebb,D,31.1,21.9,6.2,7.8,1.278753601,0.668665415,-1.323763783,-1.816730156,-1.365270892,-0.281027388,1.270263988,1.170699214,-0.430140389,0.134171359,0.251032699,-0.355143582,-0.300865167,-0.179244912
ace,aceei,D,28.9,22.05,6.1,7.7,1.230448921,0.833784375,-1.612165428,-1.604236911,-1.591336126,-0.16345937,1.329230929,0.459331626,-0.46236138,0.404391948,0.074136639,0.183418485,-0.47731057,-0.168590084
ace,acefc,A,6.3,21.25,5.3,6.9,1.447158031,0.907276967,-1.288192771,-1.403952992,-1.145086978,2.173749027,1.825111578,0.818207756,0.995869602,1.116412635,-0.360414758,0.192715017,0.245667434,0.030206268
ace,acemc,D,17.4,21.6,5.9,7.4,1.380211242,0.876895896,-1.360762604,-1.449771647,-1.267807349,1.064296975,1.49568561,0.838311244,0.020440735,0.653365349,0.011059987,0.064375288,-0.004410634,-0.086981974
ace,acesp,D,29.25,21.9,6,7.7,1.230448921,0.605735894,-1.282537542,-1.775985189,-1.41453927,-0.153410554,1.274375028,1.156830174,-0.065606959,0.063014116,0.21265502,-0.300358392,-0.261714122,-0.142377693
apa,apacp,B,22.3,23.75,7,8,0.903089987,0.788875116,-1.628932138,-1.375030729,-2.698970004,-0.56843407,0.809288998,-1.16945636,-0.57850627,-0.907132524,0.431845175,0.167665679,-0.150248237,-0.021963311
apa,apadb,B,21.2,23.7,7.25,8,1,0.903089987,-1.865173709,-1.420216403,-2.823908741,-0.557111453,0.850247819,-1.697334826,-0.853620872,-0.528869516,0.404438902,0.205646842,-0.323312948,-0.022341837
apa,apaeb,A,8.425,24.6,7,7.6,1.113943352,1.088292643,-1.537602002,-1.619788758,-2.698970004,0.703962298,1.453088032,-1.612351809,-0.279090322,-0.436076471,-0.06855205,-0.096030222,0.383564329,0.057808025
apa,apaes,A,7.1,24.55,6.7,7.5,0.903089987,1.06694679,-1.619788758,-1.602059991,-2.698970004,0.577655753,1.373942567,-1.712331136,0.09803114,-0.363763857,-0.269746332,0.293894439,0.537890499,0.109664283
apa,apapc,B,26.3,23.1,6.7,8.1,0.903089987,0.73239376,-2.045757491,-1.978810701,-2.997962227,-1.52049321,0.942556572,-1.817836175,-0.597252829,-0.389666289,0.379871276,0.087075686,-0.585172986,0.362494509
cbm,cbmip,A,0.2,16.2,8.1,7.2,1.041392685,0.467608106,-1.270295379,-0.461761499,-1.306273051,2.19441673,-0.891790058,0.39328899,0.783102976,0.46380778,0.232228495,0.020068826,0.580791541,-0.279670826
cbm,cbmmb,A,10.6,15.6,7.8,7,0.954242509,0.893761762,-2.085656706,-1.333716077,-1.855425792,1.107846832,-0.277483101,-1.086737732,0.483363626,1.559024609,-1.069935391,0.480951753,-0.282684826,-0.121541112
cbm,cbmmc,A,0.1,17.25,6.7,6.6,1.255272505,0.84135947,-1.327902142,-0.680200179,-1.808735338,3.001123417,0.513362119,-0.257424078,1.482321908,0.655804744,-0.823091638,0.280921539,-0.079900999,-0.107192377
cbm,cbmoc,A,0.2,20.4,9.075,7.6,1.414973348,1.437829806,-1.420216403,-0.247951552,-2.401574293,2.6036982,0.21178722,-1.606241208,-1.539470144,-0.375150566,0.045314067,0.030768916,0.320769702,-0.388106237
cbm,cbmrr,A,0.2,15.7,8.1,7.1,1.301029996,0.924795996,-1.263603498,-0.224389552,-1.779456092,2.964185407,-0.362275191,-0.27182267,0.164196069,0.213093312,-0.25461326,0.087442041,0.069256254,-0.14946361
cbv,cbvcb,A,16.4,17.85,8,7.8,1.079181246,0.932093083,-1.522516984,-1.869666232,-1.905703603,0.251698878,0.152483744,-0.356762679,-0.881209753,0.220393133,-0.315003388,-0.558006163,0.27177781,0.247193933
cbv,cbvgi,B,19.6,17,9.05,8.1,0.602059991,0.671404281,-1.490797478,-2.821846273,-2.22184875,-1.236871845,-0.634743308,-0.700119308,-0.818686797,-0.281454616,-0.590598173,-1.294178128,0.895445922,0.438664977
cbv,cbvsh,A,0.4,18.1,7.8,7.1,1.491361694,0.768823025,-1.514278574,-0.753747688,-1.721246399,2.482359625,0.155080615,-0.476714461,0.391163928,0.89583213,0.129225158,-0.234192047,-0.031913961,-0.233738201
cbv,cbvsp,A,0.6,18.05,8.1,7.1,1.469822016,0.811575006,-1.384049948,-0.732710911,-1.613501034,2.621169397,0.064500772,-0.262449164,0.266285004,0.758455484,0.010000174,-0.344875926,0.148499104,-0.366363933
cbv,cbvtc,A,11.1,17.6,7.6,7.5,1.602059991,1.031812271,-1.339846286,-1.378823718,-1.516412703,1.754018935,0.65529404,0.232039654,-0.783936856,0.673267297,-0.099922785,-0.671505923,-0.050776334,0.105181176
del,delbl,A,1.2,16.3,8.2,7,1.591064607,1.441433276,-1.353596274,-0.41453927,-1.816730156,3.476090306,0.402322271,-0.621714305,-0.646299852,0.611052242,-0.851998286,0.035581924,-0.121059959,-0.218713714
del,delds,A,0.1,16.4,8.4,6.8,1,1.441695136,-1.167491087,-0.653647026,-1.795880017,3.200947298,0.0395823,-0.535181466,0.022279189,0.171744928,-1.735155572,0.312565296,0.708211529,-0.37533781
del,delll,A,1.8,16.1,8,7,1.51851394,1.235275877,-0.97109001,-0.051587034,-1.619788758,3.73890303,0.172794407,0.198691377,-0.271995201,-0.019831869,-0.604784914,-8.46E-06,0.027413479,-0.309927196
del,delsl,A,9.6,15.4,6.8,7.1,1.568201724,1.046690221,-0.839856736,-0.219682688,-1.366531544,3.244380627,0.506639608,1.158991465,-0.043644836,-0.109756144,-0.392813854,-0.001395366,-0.332390724,0.031845597
elk,elkap,D,33.15,16.8,6.15,7.9,0.698970004,0.60368555,-1.238824187,-1.702786804,-1.221125528,-0.780675028,0.161938735,1.666015122,-0.280623234,-0.251193136,-0.320148964,0.210565569,0.022400583,0.377119486
elk,elknm,D,32.9,17.2,6.3,8.1,0.77815125,0.767403257,-1.150887834,-1.257667718,-1.346787486,-0.519575305,0.176662879,1.576327596,-0.92595294,-0.720839102,-0.035807731,0.383121082,-0.027446554,0.389341436
elk,elksm,D,32.7,16.2,6.9,8,0.77815125,0.547159121,-1.177777419,-1.092409512,-1.353432913,-0.419652789,-0.380135736,1.535071021,-0.580321429,-0.636389636,0.075638905,0.188322266,-0.198632941,0.130472927
elk,elkvm,C,32.7,13.9,7.9,8,0.602059991,0.387389826,-1.229147988,-0.859491957,-1.42365865,-0.491479941,-1.368683003,1.352176579,-0.493662554,-0.722343015,0.014707287,0.136747163,-0.228404366,-0.040084827
gnd,gndbc,B,17.05,24,6.2,7.3,0.903089987,0.868056362,-1.978810701,-2.339019029,-2.401661724,-0.353415022,1.578953192,-1.422373683,0.64897833,0.708464414,-0.669359793,0.197590693,0.016842185,-0.012292218
gnd,gndbh,D,18,23.2,3.7,7,0.84509804,0.768082856,-1.494850022,-2.259637311,-2.477105333,0.102442304,2.488911783,-0.455133929,1.907979085,-0.073156595,-0.981858708,0.559027783,-0.239468527,0.740107557
gnd,gndbl,B,20.9,23.5,7,7.7,1,0.821840927,-2.287630376,-2.823722997,-2.195776908,-1.285935453,1.240394335,-1.515597292,-0.249483612,1.335791885,-0.253366226,-0.219117494,0.023478767,0.027044323
gnd,gndpc,B,22.6,23.7,7.4,8.1,1.079181246,0.831549852,-2.301029996,-2.729245583,-2.397940009,-1.665842422,1.070422645,-1.730316605,-1.028881689,0.938826337,0.303133906,-0.403221702,-0.057554898,0.173496415
