Map.code,code,cluster,SpCond,Temp,DO,pH,Turb,Chla,NH4,NO23,PO4,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
ace,acebb,D,47.78,21.9,6.2,7.8,1.278753601,0.668665415,-1.323763783,-1.816730156,-1.365270892,-0.27389884,1.269390155,1.16774013,-0.426764279,0.133735025,0.250430721,-0.364182597,-0.2897234,-0.173176563
ace,aceei,D,44.74,22.05,6.1,7.7,1.230448921,0.833784375,-1.612165428,-1.604236911,-1.591336126,-0.165286342,1.329632592,0.461315583,-0.463628384,0.404781279,0.06741827,0.169512954,-0.483610055,-0.167454189
ace,acefc,A,11.1025,21.25,5.3,6.9,1.447158031,0.907276967,-1.288192771,-1.403952992,-1.145086978,2.158256418,1.828042123,0.827751206,0.98959326,1.108876579,-0.371370051,0.199083983,0.225434968,0.018205455
ace,acemc,D,28.31,21.6,5.9,7.4,1.380211242,0.876895896,-1.360762604,-1.449771647,-1.267807349,1.039169927,1.499783402,0.855915779,0.011686595,0.643004259,-0.005963961,0.063327666,-0.038173066,-0.10564106
ace,acesp,D,45.1475,21.9,6,7.7,1.230448921,0.605735894,-1.282537542,-1.775985189,-1.41453927,-0.150080198,1.274031065,1.15601649,-0.063865321,0.060851393,0.208470129,-0.308168556,-0.258133433,-0.140538424
apa,apacp,B,35.31,23.75,7,8,0.903089987,0.788875116,-1.628932138,-1.375030729,-2.698970004,-0.586075617,0.811450227,-1.159899483,-0.58377673,-0.908762807,0.422475583,0.162689324,-0.179850034,-0.035716299
apa,apadb,B,33.7625,23.7,7.25,8,1,0.903089987,-1.865173709,-1.420216403,-2.823908741,-0.579420267,0.853066244,-1.684762062,-0.861061952,-0.529083596,0.391816003,0.195738241,-0.35326319,-0.034964292
apa,apaeb,A,14.5325,24.6,7,7.6,1.113943352,1.088292643,-1.537602002,-1.619788758,-2.698970004,0.678544532,1.456632244,-1.598825242,-0.287649426,-0.439633859,-0.07479911,-0.08568042,0.364337737,0.043484834
apa,apaes,A,12.425,24.55,6.7,7.5,0.903089987,1.06694679,-1.619788758,-1.602059991,-2.698970004,0.55471329,1.376980861,-1.700187687,0.090327389,-0.366863695,-0.272261054,0.308930974,0.513827871,0.094271475
apa,apapc,B,41.28,23.1,6.7,8.1,0.903089987,0.73239376,-2.045757491,-1.978810701,-2.997962227,-1.538110535,0.944241147,-1.806396951,-0.602463468,-0.388901109,0.367970802,0.073161132,-0.603270334,0.355852867
cbm,cbmip,A,0.44,16.2,8.1,7.2,1.041392685,0.467608106,-1.270295379,-0.461761499,-1.306273051,2.214862891,-0.894036678,0.376555226,0.791525832,0.469225878,0.246326612,0.031520612,0.595509743,-0.271809607
cbm,cbmmb,A,17.89,15.6,7.8,7,0.954242509,0.893761762,-2.085656706,-1.333716077,-1.855425792,1.080996227,-0.27320784,-1.069897746,0.467329633,1.557054865,-1.09184018,0.473326559,-0.300301662,-0.127989236
cbm,cbmmc,A,0.23,17.25,6.7,6.6,1.255272505,0.84135947,-1.327902142,-0.680200179,-1.808735338,3.02062913,0.511612638,-0.277860891,1.482757825,0.666440453,-0.821202382,0.278047522,-0.051350387,-0.088502695
cbm,cbmoc,A,0.34,20.4,9.075,7.6,1.414973348,1.437829806,-1.420216403,-0.247951552,-2.401574293,2.620316757,0.210402794,-1.626162125,-1.535075155,-0.359697175,0.066721799,0.035617602,0.352450309,-0.369607835
cbm,cbmrr,A,0.35,15.7,8.1,7.1,1.301029996,0.924795996,-1.263603498,-0.224389552,-1.779456092,2.984438832,-0.363990857,-0.292589755,0.167685067,0.224213669,-0.24433509,0.087513566,0.097685099,-0.132054895
cbv,cbvcb,D,26.88,17.85,8,7.8,1.079181246,0.932093083,-1.522516984,-1.869666232,-1.905703603,0.221392476,0.156971597,-0.334867589,-0.891879306,0.210668389,-0.323470212,-0.547753032,0.263803005,0.234223172
cbv,cbvgi,B,31.645,17,9.05,8.1,0.602059991,0.671404281,-1.490797478,-2.821846273,-2.22184875,-1.265720664,-0.63122477,-0.67582627,-0.82679665,-0.294068891,-0.587205097,-1.264238839,0.913311683,0.429104474
cbv,cbvsh,A,0.9,18.1,7.8,7.1,1.491361694,0.768823025,-1.514278574,-0.753747688,-1.721246399,2.495739629,0.153978086,-0.490639545,0.394528697,0.904922837,0.132202911,-0.238901035,-0.007375648,-0.219042913
cbv,cbvsp,A,1.175,18.05,8.1,7.1,1.469822016,0.811575006,-1.384049948,-0.732710911,-1.613501034,2.635628451,0.063367393,-0.277159049,0.269729874,0.767003638,0.015800889,-0.345142291,0.177562295,-0.351043334
cbv,cbvtc,A,18.66,17.6,7.6,7.5,1.602059991,1.031812271,-1.339846286,-1.378823718,-1.516412703,1.729422306,0.65968384,0.247707112,-0.793807226,0.666131941,-0.11342344,-0.671994281,-0.053755092,0.097487093
del,delbl,A,2.275,16.3,8.2,7,1.591064607,1.441433276,-1.353596274,-0.41453927,-1.816730156,3.483607856,0.402840843,-0.634779849,-0.650725094,0.621775416,-0.847846249,0.031699135,-0.088001149,-0.19969512
del,delds,A,0.18,16.4,8.4,6.8,1,1.441695136,-1.167491087,-0.653647026,-1.795880017,3.219573812,0.038294677,-0.55533971,0.020532926,0.183068681,-1.713866489,0.332202064,0.75592644,-0.352406636
del,delll,A,3.455,16.1,8,7,1.51851394,1.235275877,-0.97109001,-0.051587034,-1.619788758,3.742838488,0.173999947,0.187522831,-0.277147724,-0.014295632,-0.605407048,-0.00075715,0.042535788,-0.301507367
del,delsl,A,16.2775,15.4,6.8,7.1,1.568201724,1.046690221,-0.839856736,-0.219682688,-1.366531544,3.226028925,0.510986248,1.165379666,-0.056189224,-0.115912637,-0.413458576,-0.009203687,-0.353041752,0.020756283
elk,elkap,D,50.495,16.8,6.15,7.9,0.698970004,0.60368555,-1.238824187,-1.702786804,-1.221125528,-0.762494225,0.159350811,1.657466053,-0.273523686,-0.25206277,-0.304583934,0.2161938,0.039658863,0.385674623
elk,elknm,D,50.18,17.2,6.3,8.1,0.77815125,0.767403257,-1.150887834,-1.257667718,-1.346787486,-0.502983085,0.174489104,1.56729746,-0.918796988,-0.721093853,-0.018833911,0.387093598,-0.020257205,0.394335528
elk,elksm,D,49.95,16.2,6.9,8,0.77815125,0.547159121,-1.177777419,-1.092409512,-1.353432913,-0.404339697,-0.382055201,1.526194107,-0.574859933,-0.636220426,0.084283544,0.1852786,-0.192978315,0.135421225
elk,elkvm,C,49.935,13.9,7.9,8,0.602059991,0.387389826,-1.229147988,-0.859491957,-1.42365865,-0.475652736,-1.370643938,1.342449902,-0.489362702,-0.721064993,0.021000462,0.131746974,-0.221400602,-0.034109636
gnd,gndbc,B,27.7675,24,6.2,7.3,0.903089987,0.868056362,-1.978810701,-2.339019029,-2.401661724,-0.383300877,1.582735623,-1.402019781,0.636289428,0.703145744,-0.687353319,0.198580979,-0.00578471,-0.025282306
gnd,gndbh,D,29.005,23.2,3.7,7,0.84509804,0.768082856,-1.494850022,-2.259637311,-2.477105333,0.0807653,2.491667584,-0.44219936,1.89633309,-0.08055728,-1.001600058,0.559755505,-0.265782228,0.72614735
gnd,gndbl,B,33.43,23.5,7,7.7,1,0.821840927,-2.287630376,-2.823722997,-2.195776908,-1.312976413,1.243415052,-1.493151401,-0.257478992,1.33136369,-0.26388711,-0.21846138,0.016380499,0.020259043
gnd,gndpc,B,35.96,23.7,7.4,8.1,1.079181246,0.831549852,-2.301029996,-2.729245583,-2.397940009,-1.692135002,1.073199776,-1.708198844,-1.03402048,0.935217346,0.296366,-0.404583364,-0.06474678,0.166385385
grb,grbgb,C,39.24,15.05,8.5,7.9,0.602059991,0.669626759,-1.597738618,-1.283996656,-1.654299609,-0.440044648,-1.161794397,0.181587272,-0.752952369,-0.031179071,-0.36857814,0.135918855,0.119438744,-0.062927904
grb,grblr,A,20.55,17.3,8.6,7.3,0.698970004,0.33243846,-1.412850502,-0.966576245,-2.045757491,0.760906025,-1.079033833,-0.406018507,0.929514941,-0.226421434,-0.247661124,-0.203459575,0.177376375,-0.533022472
grb,grbor,D,35.06,16.3,7.9,7.7,0.903089987,0.658249954,-1.244125144,-0.966576245,-1.417936637,0.546841464,-0.58258266,0.872160621,-0.421965368,-0.208059023,-0.147299413,-0.034372275,0.06084536,-0.215132379
grb,grbsq,A,31.26,16.65,7.9,7.7,1.113943352,0.743470567,-0.871277716,-0.869666232,-1.443697499,1.22270921,-0.26733079,1.193621053,-0.578983613,-0.718132549,-0.070097694,-0.463131725,0.173505517,-0.16459785
gtm,gtmfm,D,52.175,24,6.3,8,0.84509804,0.540954809,-1.494850022,-2.045757491,-1.853871964,-1.446106022,1.072776256,0.423951503,-0.250933297,-0.406557755,0.290742328,-0.095740798,-0.059332009,-0.208211251
gtm,gtmpc,D,26.04,24.55,5.3,7.4,0.929418926,0.832508913,-1.501689446,-2.068033885,-1.48148606,0.064654522,1.85592182,0.363819792,0.595640336,0.545614436,-0.275459673,0.409910315,0.619290463,0.013844836
gtm,gtmpi,D,44.0775,24.3,5.8,7.6,1.021189299,0.67669361,-1.411728293,-1.987162775,-1.643018599,-0.476921521,1.601689107,0.610659737,0.231772525,0.0285394,-0.079979526,-0.014997104,-0.01830138,-0.288987902
gtm,gtmss,D,51.6,24.1,6,7.9,0.954242509,0.630936119,-1.459045191,-1.802030632,-1.782516056,-1.017946744,1.301785299,0.559290637,-0.251266558,-0.354782731,0.259336591,0.08700186,-0.222578924,-0.253785827
hee,heekk,B,51.81,25.8,6.55,8.1,0.301029996,-0.140411423,-1.884389488,-2.095554959,-2.408935393,-2.927451996,0.148836149,-0.562639291,0.972892726,-0.660736466,0.959660787,0.170037702,-0.020661239,-0.398471102
hee,heer9,B,53.02,25.8,6.5,8.1,0.301029996,-0.22366209,-2.698970004,-2.32330639,-2.434742657,-3.763362967,0.001510348,-1.498164663,1.004109841,0.720332915,1.17744247,0.655418128,-0.500948626,-0.393998703
hee,heew2,D,0.26,24.3,2.4,6.9,1.146128036,-0.010995384,-2.033858267,-2.886056648,-1.904830649,-0.141835839,2.650532902,-0.451887797,3.508412302,1.926011101,0.657566906,0.267363595,0.080039402,1.353236986
hud,hudbm,A,1.37,13.4,9.3,7.7,1.176091259,0.298853076,-1.54515514,0.240549248,-1.431798276,1.956803341,-2.108834627,-0.011321406,-0.207705756,0.448130437,1.305472468,0.028087165,0.080504571,-0.192906756
hud,hudsc,C,0.38,15.75,8.9,7.9,0.602059991,-0.010995384,-1.508638306,-0.387216143,-1.462180905,0.612892887,-2.240028608,0.038127474,0.463862057,0.019286008,1.439973235,0.145811295,1.003756134,-0.024930543
