,station,parameter,Slope,std.error,conf.low,conf.high,statistic,p.value,Intercept,R2_adj,Dev_expl,model_error,ar1_start,threshold,model_refit,ar1_end,ts_start,ts_end,ts_length,n_points,Fall_estimate,Winter_estimate,Spring_estimate,Summer_estimate,Fall_p.value,Winter_p.value,Spring_p.value,Summer_p.value,Fall_std.error,Winter_std.error,Spring_std.error,Summer_std.error,sig_trend,sig_autocorr
1,acefcwq,do_pct_median,-0.160966559,0.081317165,-0.320345274,-0.001587844,-1.979490541,0.048981484,389.7990401,0.87196732,0.877047014,FALSE,0.3585,0.127853953,TRUE,0.0436,2002.786301,2022.953425,20.16712329,235,-0.143897053,-0.280727233,-0.069676786,-0.129575279,0.528787197,0.057031277,0.705461195,0.296964581,0.227085107,0.144470295,0.183411194,0.123099785,yes,yes
2,acemcwq,do_pct_median,-0.103001262,0.102303651,-0.303512733,0.097510209,-1.006819023,0.315113231,281.48419,0.812289664,0.819611249,FALSE,0.4771,0.12840151,TRUE,0.047,2002.786301,2022.953425,20.16712329,233,-0.098181388,-0.228040195,0.098630283,-0.097792264,0.631240059,0.086664454,0.569701764,0.54946491,0.203487066,0.130632397,0.172489138,0.162388909,no,yes
3,acespwq,do_pct_median,-0.020078079,0.059601139,-0.136894165,0.096738007,-0.33687408,0.73651991,123.0613068,0.834313787,0.840347663,FALSE,0.3861,0.126779531,TRUE,0.0071,2002.038356,2022.953425,20.91506849,239,0.012945038,-0.149228897,0.211482182,-0.119436924,0.928818592,0.073812335,0.104747763,0.148484406,0.14430304,0.081819987,0.12842228,0.081541054,no,yes
4,apacpwq,do_pct_median,0.247089068,0.085343975,0.079817951,0.414360185,2.895213964,0.004144064,-404.2632948,0.543811811,0.560195547,FALSE,0.4223,0.124962739,TRUE,0.0487,2002.038356,2022.953425,20.91506849,246,0.059612064,-0.143278343,0.523643999,0.568277321,0.525523647,0.294285466,0.000151216,3.75E-05,0.093350365,0.135357732,0.129565903,0.127624205,yes,yes
5,apadbwq,do_pct_median,-0.103976083,0.074977352,-0.250928992,0.042976825,-1.386766553,0.166868034,303.6549662,0.555077903,0.568554607,FALSE,0.3773,0.127582788,TRUE,-9.00E-04,2002.038356,2022.953425,20.91506849,236,-0.095647404,-0.155784989,-0.229092811,0.07016082,0.462718072,0.148916319,0.041560186,0.471014608,0.129348156,0.106496761,0.109877146,0.096685167,no,yes
6,apaebwq,do_pct_median,-0.553773425,0.223289812,-0.991413415,-0.116133434,-2.480065788,0.013900452,1197.051097,0.55658008,0.572010334,FALSE,0.4605,0.130664266,TRUE,0.0571,2002.038356,2022.953425,20.91506849,225,-0.329945933,-0.334489234,-0.406357698,-1.188899783,0.397533766,0.123612396,0.17494638,0.000253517,0.386775447,0.213840322,0.295835438,0.303478193,yes,yes
7,apaeswq,do_pct_median,-0.17351217,0.170640514,-0.507961432,0.160937092,-1.016828687,0.310329599,429.8258916,0.613262223,0.62738025,FALSE,0.4099,0.128126854,TRUE,0.054,2002.038356,2022.953425,20.91506849,234,-0.177263542,-0.07636139,-0.093087147,-0.240438955,0.544385196,0.690065384,0.721779948,0.373565043,0.290570487,0.190522141,0.260153705,0.268089167,no,yes
8,cbmipwq,do_pct_median,-0.113678131,0.064544521,-0.240183067,0.012826805,-1.76123596,0.079577735,313.344249,0.826374298,0.833453053,FALSE,0.493,0.12867794,TRUE,-0.1054,2003.284932,2022.953425,19.66849315,232,-0.148586327,-0.065403504,-0.089741069,-0.098077678,0.276121398,0.343793953,0.505537521,0.249753705,0.135148003,0.068456366,0.133933795,0.084345746,no,yes
9,cbmmcwq,do_pct_median,0.826103671,0.159390802,0.513703439,1.138503903,5.182881696,5.64E-07,-1589.673549,0.697244435,0.709788082,FALSE,0.4636,0.139997427,TRUE,0.0505,2003.284932,2022.953425,19.66849315,196,0.977884992,0.265471736,0.543322168,1.318990035,0.000942435,0.00619329,0.040832799,2.65E-06,0.279731563,0.086252397,0.259511472,0.253327302,yes,yes
10,cbmocwq,do_pct_median,-0.331708387,0.243329498,-0.80862544,0.145208666,-1.363206638,0.174591288,763.2410751,0.133818313,0.173210884,FALSE,0.4164,0.145282196,TRUE,0.0944,2003.284932,2022.953425,19.66849315,182,0.347611854,0.040339766,-0.16241255,-1.453734487,0.053955248,0.90014395,0.504926929,0.002389146,0.176122425,0.314153828,0.242015909,0.45729176,no,yes
